Si_conc,replicate,growth_rate,min,q1,median,mean,q3,max,sd,iqr,n,se,CI_lower,CI_upper
0.01,rep1,0.0327,0.0327,0.06225,0.0796,0.072,0.08935,0.0961,0.0280078560407611,0.0271,4,0.0140039280203806,0.0274332510120809,0.116566748987919
0.01,rep2,0.0721,0.0327,0.06225,0.0796,0.072,0.08935,0.0961,0.0280078560407611,0.0271,4,0.0140039280203806,0.0274332510120809,0.116566748987919
0.01,rep3,0.0871,0.0327,0.06225,0.0796,0.072,0.08935,0.0961,0.0280078560407611,0.0271,4,0.0140039280203806,0.0274332510120809,0.116566748987919
0.01,rep4,0.0961,0.0327,0.06225,0.0796,0.072,0.08935,0.0961,0.0280078560407611,0.0271,4,0.0140039280203806,0.0274332510120809,0.116566748987919
0.05,rep1,0.3255,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep2,0.2338,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep3,0.2612,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep4,0.1837,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep5,0.173,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep6,0.1546,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep7,0.1774,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep8,0.1344,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.05,rep9,0.1253,0.1253,0.1546,0.1774,0.196544444444444,0.2338,0.3255,0.0651735397057562,0.0792,9,0.0217245132352521,0.146447627088656,0.246641261800233
0.1,rep1,0.2354,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.1,rep2,0.2148,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.1,rep3,0.1905,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.1,rep4,0.1931,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.1,rep5,0.2166,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.1,rep6,0.263,0.1905,0.198525,0.2157,0.2189,0.2307,0.263,0.0272446692033506,0.032175,6,0.0111225896265213,0.190308473140827,0.247491526859173
0.25,rep1,0.1804,0.1561,0.171325,0.18775,0.186433333333333,0.202375,0.2139,0.0221458498745627,0.03105,6,0.00904100535215956,0.163192689199181,0.209673977467485
